Accident_ID,FECHA,RANGO HORARIO,DIA SEMANA,DISTRITO,district_code,LUGAR1,latitude,longitude,LUGAR 2,lugar2_code,Nr.,CPFA Hielo,CPFA Lluvia,CPFA Niebla,CPFA Seco,CPFA Nieve,CPSV Mojada,CPSV Aceite,CPSV Grava Suelta,CPSV Seca Y Limpia,Nº VICTIMAS *,TIPO ACCIDENTE,SKOS_TypeAccident,TIPO PERSONA,SEXO,LESIVIDAD,Tramo Edad
2017-1987,28-02-17,19:00-19:59,MARTES,San Blas,https://www.wikidata.org/wiki/Q2001937,avenida de Arcentales,40.4342,-3.613652778, CALLE DE MIGUEL YUSTE,,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HL                                      ,45-49
2017-1973,28-02-17,20:00-20:59,MARTES,Retiro,https://www.wikidata.org/wiki/Q2002296,rue Lope de Rueda,40.42064722,-3.677613889,"Calle de O'Donnell, Madrid",https://www.wikidata.org/wiki/Q5740859,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,HOMBRE,HL                                      ,30-34
2017-2010,01-03-17,9:00-9:59,MIERCOLES,Hortaleza,https://www.wikidata.org/wiki/Q1928529,"Carretera de Canillas, Madrid",40.46340833,-3.646513889,,,10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,MUJER,HL                                      ,35-39
2017-2242,02-03-17,8:00-8:59,JUEVES,Centro,https://www.wikidata.org/wiki/Q1763376,San Bernardo street,40.42572222,-3.707219444,,,59,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,HOMBRE,HL                                      ,40-44
2017-2112,03-03-17,14:00-14:59,VIERNES,Chamberí,https://www.wikidata.org/wiki/Q1763370,Calle de Raimundo Fernández Villaverde,40.44659444,-3.698594444,,,30,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,HOMBRE,HL                                      ,25-29
2017-2189,05-03-17,15:00-15:59,DOMINGO,Chamberí,https://www.wikidata.org/wiki/Q1763370,calle de Génova,40.42648889,-3.693380556, PLAZA DE ALONSO MARTINEZ,,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,MUJER,HL                                      ,50-54
2017-2303,08-03-17,13:00-13:59,MIERCOLES,Chamberí,https://www.wikidata.org/wiki/Q1763370,"Calle de Fernando el Católico, Madrid",40.43421,-3.712066,,,25,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HL                                      ,50-54
2017-2306,08-03-17,23:00-23:59,MIERCOLES,Chamberí,https://www.wikidata.org/wiki/Q1763370,calle de María Panés,40.44456944,-3.696533333,rue Modesto Lafuente,https://www.wikidata.org/wiki/Q27314640,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,HOMBRE,HL                                      ,25-29
2017-2384,09-03-17,15:00-15:59,JUEVES,Arganzuela,https://www.wikidata.org/wiki/Q2000929,CALLE DE MURCIA ,,,rue Rafael de Riego,https://www.wikidata.org/wiki/Q27430115,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,HOMBRE,HL                                      ,45-49
2017-2370,09-03-17,16:00-16:59,JUEVES,Moncloa-Aravaca,https://www.wikidata.org/wiki/Q2017682,CALLE DE EMERENCIANA ZURILLA ,,,rue San Restituto,https://www.wikidata.org/wiki/Q28938015,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HL                                      ,30-34
