Accident_ID,FECHA,RANGO HORARIO,DIA SEMANA,DISTRITO,district_code,LUGAR 1,coordinate location,lugar1_code,LUGAR 2,lugar2_code,Nº,CPFA Hielo,CPFA Lluvia,CPFA Niebla,CPFA Seco,CPFA Nieve,CPSV Mojada,CPSV Aceite,CPSV Grava Suelta,CPSV Seca Y Limpia,Nº VICTIMAS *,TIPO ACCIDENTE,SKOS_TypeAccident,TIPO PERSONA,SEXO,LESIVIDAD,Tramo Edad
2017-7864,18/08/2017,2:00-2:59,VIERNES,Centro,https://www.wikidata.org/wiki/Q1763376,rue Prim,"40.421911111111,-3.6942083333333",https://www.wikidata.org/wiki/Q28916366, PASEO DE RECOLETOS,,0,false,false,false,true,false,false,false,false,true,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,MUJER,HL                                      ,21-24
2017-7800,18/08/2017,17:00-17:59,VIERNES,Arganzuela,https://www.wikidata.org/wiki/Q2000929,calle de Segovia,"40.413922222222,-3.7172805555556",https://www.wikidata.org/wiki/Q8255505,boulevard Virgen del Puerto,https://www.wikidata.org/wiki/Q6065659,0,false,false,false,true,false,false,false,false,true,1,ATROPELLO,/kos/accidentes/atropello,CONDUCTOR,HOMBRE,IL                                      ,15-17
2017-7927,21/08/2017,10:00-10:59,LUNES,Centro,https://www.wikidata.org/wiki/Q1763376,calle de Segovia,"40.413922222222,-3.7172805555556",https://www.wikidata.org/wiki/Q8255505, CUESTA DE LA VEGA,,0,false,false,false,true,false,false,false,false,true,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,HOMBRE,HL                                      ,40-44
2017-7920,24/08/2017,16:00-16:59,JUEVES,Tetuán,https://www.wikidata.org/wiki/Q1773540,Calle de Bravo Murillo,"40.448311111111,-3.7035944444444",https://www.wikidata.org/wiki/Q5740815,,,101,false,false,false,true,false,false,false,false,true,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HL                                      ,55-59
2017-7950,26/08/2017,10:00-10:59,SABADO,Arganzuela,https://www.wikidata.org/wiki/Q2000929,Ronda de Segovia,"40.408505555556,-3.7159888888889",https://www.wikidata.org/wiki/Q27955399,,,2,false,false,false,true,false,false,false,false,true,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,HOMBRE,HL                                      ,45-49
2017-8040,27/08/2017,14:00-14:59,DOMINGO,Tetuán,https://www.wikidata.org/wiki/Q1773540,paseo de la Castellana,"40.44388889,-3.69138889",https://www.wikidata.org/wiki/Q1473674,,,117,false,true,false,false,false,true,false,false,false,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,HOMBRE,HL                                      ,21-24
2017-7990,29/08/2017,11:00-11:59,MARTES,Latina,https://www.wikidata.org/wiki/Q794954,Avenida de Portugal,"40.413086111111,-3.7334194444444",https://www.wikidata.org/wiki/Q26736141,,,67,false,false,false,true,false,false,false,false,true,2,ATROPELLO,/kos/accidentes/atropello,CONDUCTOR,HOMBRE,HL                                      ,55-59
2017-8103,01/09/2017,17:00-17:59,VIERNES,Arganzuela,https://www.wikidata.org/wiki/Q2000929,Calle de Toledo,"40.410627777778,-3.7089805555556",https://www.wikidata.org/wiki/Q5740883, PASEO DEL DOCTOR VALLEJO NAGERA,,0,false,false,false,true,false,false,false,false,false,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,HOMBRE,HG                                      ,40-44
2017-8146,01/09/2017,17:00-17:59,VIERNES,Tetuán,https://www.wikidata.org/wiki/Q1773540,CALLE DE LA ALFALFA ,,,Capitán Blanco Argibay Street,https://www.wikidata.org/wiki/Q27038685,0,false,false,false,true,false,false,false,false,true,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HL                                      ,10-14
2017-8218,05/09/2017,12:00-12:59,MARTES,Tetuán,https://www.wikidata.org/wiki/Q1773540,rue Estébanez Calderón,"40.463522222222,-3.6908583333333",https://www.wikidata.org/wiki/Q45808176,paseo de la Castellana,https://www.wikidata.org/wiki/Q1473674,0,false,false,false,true,false,false,false,false,true,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HL                                      ,18-20
2017-8227,05/09/2017,14:00-14:59,MARTES,Arganzuela,https://www.wikidata.org/wiki/Q2000929,Calle de Toledo,"40.410627777778,-3.7089805555556",https://www.wikidata.org/wiki/Q5740883,,,128,false,false,false,true,false,false,false,false,true,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HL                                      ,30-34
2017-8410,05/09/2017,21:00-21:59,MARTES,Centro,https://www.wikidata.org/wiki/Q1763376,calle de Segovia,"40.413922222222,-3.7172805555556",https://www.wikidata.org/wiki/Q8255505,Ronda de Segovia,https://www.wikidata.org/wiki/Q27955399,0,false,false,false,true,false,false,false,false,true,2,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,MUJER,HL                                      ,35-39
2017-8442,05/09/2017,23:00-23:59,MARTES,Centro,https://www.wikidata.org/wiki/Q1763376,calle de Bailén,"40.416672222222,-3.7133138888889",https://www.wikidata.org/wiki/Q5740811,Gran Vía de San Francisco,https://www.wikidata.org/wiki/Q32035437,0,false,false,false,true,false,false,false,false,true,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,HOMBRE,HL                                      ,35-39
2017-8279,07/09/2017,8:00-8:59,JUEVES,Chamberí,https://www.wikidata.org/wiki/Q1763370,rue Cea Bermúdez,"40.438902777778,-3.710225",https://www.wikidata.org/wiki/Q26791743,calle de Vallehermoso,https://www.wikidata.org/wiki/Q27243374,0,false,false,false,true,false,false,false,false,true,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,MUJER,HL                                      ,35-39
